subj size,subj type,subj param,query start,query size,direct set,query type,container mode,init time,warmup time,total query time,run count,average time,success
100,exponential,3,0,5,false,shuffle,unordered,49223,14288,17686,20,884,OK
100,exponential,3,0,5,true,all,any,66875,17745,20361,20,1018,OK
100,exponential,3,0,5,true,all,exact,51225,14656,15638,20,781,OK
100,exponential,3,0,5,true,all,ordered,53569,14997,17549,20,877,OK
100,exponential,3,0,5,true,all,unordered,49426,14105,17326,20,866,OK
100,exponential,3,0,5,true,sel,any,58163,15021,16064,20,803,OK
100,exponential,3,0,5,true,sel,ordered,52100,15334,18610,20,930,OK
100,exponential,3,0,5,true,sel,unordered,49952,14450,17516,20,875,OK
100,exponential,3,0,5,true,shuffle,any,53874,15712,18657,20,932,OK
100,exponential,3,0,5,true,shuffle,unordered,49311,14030,17356,20,867,OK
100,exponential,3,1,10,false,all,any,61958,17328,26358,20,1317,OK
100,exponential,3,1,10,false,all,exact,51676,15192,18669,20,933,OK
100,exponential,3,1,10,false,all,ordered,53307,15383,22094,20,1104,OK
100,exponential,3,1,10,false,all,unordered,49585,15038,21708,20,1085,OK
100,exponential,3,1,10,false,sel,any,68895,14830,20933,20,1046,OK
100,exponential,3,1,10,false,sel,ordered,54161,16630,21708,20,1085,OK
100,exponential,3,1,10,false,sel,unordered,50119,14861,21294,20,1064,OK
100,exponential,3,1,10,false,shuffle,any,64245,16168,19682,20,984,OK
100,exponential,3,1,10,false,shuffle,unordered,49692,14886,21821,20,1091,OK
100,exponential,3,1,10,true,all,any,65228,15262,27037,20,1351,OK
100,exponential,3,1,10,true,all,exact,50910,14190,20058,20,1002,OK
100,exponential,3,1,10,true,all,ordered,52918,15862,21384,20,1069,OK
100,exponential,3,1,10,true,all,unordered,50204,14472,20260,20,1013,OK
100,exponential,3,1,10,true,sel,any,59862,13863,16928,20,846,OK
100,exponential,3,1,10,true,sel,ordered,53978,16074,21157,20,1057,OK
100,exponential,3,1,10,true,sel,unordered,49466,15129,20915,20,1045,OK
100,exponential,3,1,10,true,shuffle,any,55853,18214,22566,20,1128,OK
100,exponential,3,1,10,true,shuffle,unordered,49486,14748,20412,20,1020,OK
100,exponential,3,1,1,false,all,any,56317,11956,15833,20,791,OK
100,exponential,3,1,1,false,all,exact,51193,11763,12775,20,638,OK
100,exponential,3,1,1,false,all,ordered,50812,11615,12450,20,622,OK
100,exponential,3,1,1,false,all,unordered,48688,11131,11910,20,595,OK
100,exponential,3,1,1,false,sel,any,62685,15289,16113,20,805,OK
100,exponential,3,1,1,false,sel,ordered,50706,11711,12422,20,621,OK
100,exponential,3,1,1,false,sel,unordered,49593,10975,12179,20,608,OK
100,exponential,3,1,1,false,shuffle,any,57401,13626,13910,20,695,OK
100,exponential,3,1,1,false,shuffle,unordered,48823,10901,12016,20,600,OK
100,exponential,3,1,1,true,all,any,64894,15173,17721,20,886,OK
100,exponential,3,1,1,true,all,exact,50744,11450,13618,20,680,OK
100,exponential,3,1,1,true,all,ordered,51393,11603,13015,20,650,OK
100,exponential,3,1,1,true,all,unordered,48894,11113,12279,20,613,OK
100,exponential,3,1,1,true,sel,any,59090,13716,13104,20,655,OK
100,exponential,3,1,1,true,sel,ordered,51581,12891,15302,20,765,OK
100,exponential,3,1,1,true,sel,unordered,48604,11120,12318,20,615,OK
100,exponential,3,1,1,true,shuffle,any,52863,12123,13774,20,688,OK
100,exponential,3,1,1,true,shuffle,unordered,48910,11124,12123,20,606,OK
100,exponential,3,1,20,false,all,any,57756,15201,18194,20,909,OK
100,exponential,3,1,20,false,all,exact,52586,15703,24492,20,1224,OK
100,exponential,3,1,20,false,all,ordered,54834,17046,29326,20,1466,OK
100,exponential,3,1,20,false,all,unordered,50026,15464,28754,20,1437,OK
100,exponential,3,1,20,false,sel,any,65686,15414,21872,20,1093,OK
100,exponential,3,1,20,false,sel,ordered,53850,16129,28348,20,1417,OK
100,exponential,3,1,20,false,sel,unordered,50330,15420,27457,20,1372,OK
100,exponential,3,1,20,false,shuffle,any,55087,24307,18935,20,946,OK
100,exponential,3,1,20,false,shuffle,unordered,50891,16048,27925,20,1396,OK
100,exponential,3,1,20,true,all,any,66083,20314,23991,20,1199,OK
100,exponential,3,1,20,true,all,exact,52925,15311,23876,20,1193,OK
100,exponential,3,1,20,true,all,ordered,53618,15931,28362,20,1418,OK
100,exponential,3,1,20,true,all,unordered,51199,15431,27585,20,1379,OK
100,exponential,3,1,20,true,sel,any,64178,20266,19438,20,971,OK
100,exponential,3,1,20,true,sel,ordered,51621,15254,28055,20,1402,OK
100,exponential,3,1,20,true,sel,unordered,51172,15444,27482,20,1374,OK
100,exponential,3,1,20,true,shuffle,any,54632,16900,19556,20,977,OK
100,exponential,3,1,20,true,shuffle,unordered,51191,16184,27550,20,1377,OK
100,exponential,3,1,30,false,all,any,59429,20268,19211,20,960,OK
100,exponential,3,1,30,false,all,exact,55466,16313,28578,20,1428,OK
100,exponential,3,1,30,false,all,ordered,52479,16923,33255,20,1662,OK
100,exponential,3,1,30,false,all,unordered,51348,16629,32538,20,1626,OK
100,exponential,3,1,30,false,shuffle,any,64430,18947,20728,20,1036,OK
100,exponential,3,1,30,false,shuffle,unordered,51132,16387,32124,20,1606,OK
100,exponential,3,1,30,true,all,any,58186,15486,13159,20,657,OK
100,exponential,3,1,30,true,all,exact,54988,16135,28221,20,1411,OK
100,exponential,3,1,30,true,all,ordered,52537,17326,33331,20,1666,OK
100,exponential,3,1,30,true,all,unordered,51643,16015,32130,20,1606,OK
100,exponential,3,1,30,true,shuffle,any,62199,16712,17054,20,852,OK
100,exponential,3,1,30,true,shuffle,unordered,52659,16279,32514,20,1625,OK
100,exponential,3,1,5,false,all,any,68262,21069,24145,20,1207,OK
100,exponential,3,1,5,false,all,exact,51404,14951,16092,20,804,OK
100,exponential,3,1,5,false,all,ordered,54373,16192,18007,20,900,OK
100,exponential,3,1,5,false,all,unordered,49111,13940,16876,20,843,OK
100,exponential,3,1,5,false,sel,any,54357,13838,15713,20,785,OK
100,exponential,3,1,5,false,sel,ordered,55942,15778,18125,20,906,OK
100,exponential,3,1,5,false,sel,unordered,49800,14047,17269,20,863,OK
100,exponential,3,1,5,false,shuffle,any,52892,14377,16013,20,800,OK
100,exponential,3,1,5,false,shuffle,unordered,49237,14645,17186,20,859,OK
100,exponential,3,1,5,true,all,any,52754,14889,15319,20,765,OK
100,exponential,3,1,5,true,all,exact,51648,14317,16177,20,808,OK
100,exponential,3,1,5,true,all,ordered,53773,15709,17589,20,879,OK
100,exponential,3,1,5,true,all,unordered,50781,14501,16571,20,828,OK
100,exponential,3,1,5,true,sel,any,57473,16907,13485,20,674,OK
100,exponential,3,1,5,true,sel,ordered,57568,16966,19402,20,970,OK
100,exponential,3,1,5,true,sel,unordered,50394,14452,16625,20,831,OK
100,exponential,3,1,5,true,shuffle,any,52550,14083,18864,20,943,OK
100,exponential,3,1,5,true,shuffle,unordered,50194,14231,17041,20,852,OK
100,exponential,3,2,10,false,all,any,52092,15530,22527,20,1126,OK
100,exponential,3,2,10,false,all,exact,51419,14895,19039,20,951,OK
100,exponential,3,2,10,false,all,ordered,53314,17027,25024,20,1251,OK
100,exponential,3,2,10,false,all,unordered,49633,14600,20885,20,1044,OK
100,exponential,3,2,10,false,sel,any,52185,14259,17966,20,898,OK
100,exponential,3,2,10,false,sel,ordered,53839,17278,24450,20,1222,OK
100,exponential,3,2,10,false,sel,unordered,49563,15686,20600,20,1030,OK
100,exponential,3,2,10,false,shuffle,any,53217,14304,16136,20,806,OK
100,exponential,3,2,10,false,shuffle,unordered,50424,14746,21289,20,1064,OK
100,exponential,3,2,10,true,all,any,52691,14187,17575,20,878,OK
100,exponential,3,2,10,true,all,exact,51380,15098,19641,20,982,OK
100,exponential,3,2,10,true,all,ordered,55946,16199,25798,20,1289,OK
100,exponential,3,2,10,true,all,unordered,52610,15502,21506,20,1075,OK
