subj size,query size,success,subj type,count,sum init time,init time,sum warmup time,warmup time,sum total query time,total query time,sum run count,run count,sum average time,average time
100000,30,OK,rectangle,86,43039821,500463,15088284,175445,143069660,1663601,1720,20,7153438,83180
100000,30,OK,triangle,142,71668137,504705,26979706,189998,258089972,1817535,2840,20,12904432,90876
1000000,1,OK,exponential,180,314577836,1747655,101604662,564470,1406368170,7813156,3600,20,70318327,390657
1000000,1,OK,rectangle,180,322247931,1790266,184205908,1023366,2892267524,16068153,3600,20,144613287,803407
1000000,1,OK,triangle,180,322228927,1790161,185017694,1027876,2631451307,14619174,3600,20,131572482,730958
1000000,5,OK,exponential,180,314858007,1749211,113244474,629136,1558677193,8659318,3600,20,77933779,432965
1000000,5,OK,rectangle,180,321915011,1788417,267159535,1484220,4342937555,24127431,3600,20,217146793,1206371
1000000,5,OK,triangle,152,267993336,1763114,222560016,1464211,3402974092,22387987,3040,20,170148632,1119399
1000000,10,OK,exponential,180,314747991,1748600,114099123,633884,1568284709,8712693,3600,20,78414150,435634
1000000,10,OK,rectangle,174,310711518,1785698,331416914,1904695,5609508876,32238557,3480,20,280475364,1611927
1000000,10,OK,triangle,152,270168066,1777421,252092238,1658502,3978122021,26171855,3040,20,198906030,1308592
1000000,20,OK,exponential,180,312417044,1735650,117771104,654284,1597474483,8874858,3600,20,79873640,443742
1000000,20,OK,rectangle,160,286668925,1791681,289274067,1807963,4780193667,29876210,3200,20,239009608,1493810
1000000,20,OK,triangle,104,186336189,1791694,208941004,2009048,3454287926,33214307,2080,20,172714344,1660715
1000000,30,OK,exponential,180,316296997,1757206,119320001,662889,1622819190,9015662,3600,20,81140880,450783
1000000,30,OK,rectangle,160,288023817,1800149,394688939,2466806,6948020886,43425131,3200,20,347400961,2171256
1000000,30,OK,triangle,98,173927508,1774770,200884990,2049847,3272076534,33388536,1960,20,163603777,1669426
